GroupCode,CountryGroup,Country,M49Code
5103,Northern Africa,Morocco,504
5103,Northern Africa,Sudan,729
5103,Northern Africa,Sudan (former),736
5103,Northern Africa,Tunisia,788
5103,Northern Africa,Western Sahara,732
5203,Northern America,Bermuda,60
5203,Northern America,Canada,124
5203,Northern America,Greenland,304
5203,Northern America,Saint Pierre and Miquelon,666
5203,Northern America,United States of America,840
5402,Northern Europe,Channel Islands,830
5402,Northern Europe,Denmark,208
5402,Northern Europe,Estonia,233
5402,Northern Europe,Faroe Islands,234
5402,Northern Europe,Finland,246
5402,Northern Europe,Iceland,352
5402,Northern Europe,Ireland,372
5402,Northern Europe,Isle of Man,833
5402,Northern Europe,Latvia,428
5402,Northern Europe,Lithuania,440
5402,Northern Europe,Norway,578
5402,Northern Europe,Svalbard and Jan Mayen Islands,744
5402,Northern Europe,Sweden,752
5402,Northern Europe,United Kingdom,826
5500,Oceania,American Samoa,16
5500,Oceania,Australia,36
5500,Oceania,Cook Islands,184
5500,Oceania,Fiji,242
5500,Oceania,French Polynesia,258
5500,Oceania,Guam,316
5500,Oceania,Kiribati,296
5500,Oceania,Marshall Islands,584
5500,Oceania,Micronesia (Federated States of),583
5500,Oceania,Nauru,520
5500,Oceania,New Caledonia,540
5500,Oceania,New Zealand,554
5500,Oceania,Niue,570
5500,Oceania,Norfolk Island,574
5500,Oceania,Northern Mariana Islands,580
5500,Oceania,Pacific Islands Trust Territory,582
5500,Oceania,Palau,585
5500,Oceania,Papua New Guinea,598
5500,Oceania,Pitcairn Islands,612
5500,Oceania,Samoa,882
5500,Oceania,Solomon Islands,90
5500,Oceania,Tokelau,772
5500,Oceania,Tonga,776
5500,Oceania,Tuvalu,798
5500,Oceania,Vanuatu,548
5500,Oceania,Wallis and Futuna Islands,876
5504,Polynesia,American Samoa,16
5504,Polynesia,Cook Islands,184
5504,Polynesia,French Polynesia,258
5504,Polynesia,Niue,570
5504,Polynesia,Pitcairn Islands,612
5504,Polynesia,Samoa,882
5504,Polynesia,Tokelau,772
5504,Polynesia,Tonga,776
5504,Polynesia,Tuvalu,798
5504,Polynesia,Wallis and Futuna Islands,876
5803,Small Island Developing States,American Samoa,16
5803,Small Island Developing States,Anguilla,660
5803,Small Island Developing States,Antigua and Barbuda,28
5803,Small Island Developing States,Aruba,533
5803,Small Island Developing States,Bahamas,44
5803,Small Island Developing States,Bahrain,48
5803,Small Island Developing States,Barbados,52
5803,Small Island Developing States,Belize,84
5803,Small Island Developing States,Bermuda,60
5803,Small Island Developing States,British Virgin Islands,92
5803,Small Island Developing States,Cabo Verde,132
5803,Small Island Developing States,Cayman Islands,136
5803,Small Island Developing States,Comoros,174
5803,Small Island Developing States,Cook Islands,184
5803,Small Island Developing States,Cuba,192
5803,Small Island Developing States,Dominica,212
5803,Small Island Developing States,Dominican Republic,214
5803,Small Island Developing States,Fiji,242
5803,Small Island Developing States,French Polynesia,258
5803,Small Island Developing States,Grenada,308
5803,Small Island Developing States,Guadeloupe,312
5803,Small Island Developing States,Guam,316
5803,Small Island Developing States,Guinea-Bissau,624
5803,Small Island Developing States,Guyana,328
5803,Small Island Developing States,Haiti,332
5803,Small Island Developing States,Jamaica,388
5803,Small Island Developing States,Kiribati,296
5803,Small Island Developing States,Maldives,462
5803,Small Island Developing States,Marshall Islands,584
5803,Small Island Developing States,Martinique,474
5803,Small Island Developing States,Mauritius,480
5803,Small Island Developing States,Micronesia (Federated States of),583
5803,Small Island Developing States,Montserrat,500
5803,Small Island Developing States,Nauru,520
5803,Small Island Developing States,New Caledonia,540
5803,Small Island Developing States,Niue,570
5803,Small Island Developing States,Northern Mariana Islands,580
5803,Small Island Developing States,Palau,585
5803,Small Island Developing States,Papua New Guinea,598
5803,Small Island Developing States,Puerto Rico,630
5803,Small Island Developing States,Saint Kitts and Nevis,659
5803,Small Island Developing States,Saint Lucia,662
5803,Small Island Developing States,Saint Vincent and the Grenadines,670
5803,Small Island Developing States,Samoa,882
5803,Small Island Developing States,Sao Tome and Principe,678
5803,Small Island Developing States,Seychelles,690
5803,Small Island Developing States,Singapore,702
5803,Small Island Developing States,Solomon Islands,90
5803,Small Island Developing States,Suriname,740
5803,Small Island Developing States,Timor-Leste,626
5803,Small Island Developing States,Tonga,776
5803,Small Island Developing States,Trinidad and Tobago,780
5803,Small Island Developing States,Turks and Caicos Islands,796
5803,Small Island Developing States,Tuvalu,798
5803,Small Island Developing States,United States Virgin Islands,850
5803,Small Island Developing States,Vanuatu,548
5207,South America,Argentina,32
5207,South America,Bolivia (Plurinational State of),68
5207,South America,Brazil,76
5207,South America,Chile,152
5207,South America,Colombia,170
5207,South America,Ecuador,218
5207,South America,Falkland Islands (Malvinas),238
5207,South America,French Guiana,254
5207,South America,Guyana,328
5207,South America,Paraguay,600
5207,South America,Peru,604
5207,South America,Suriname,740
5207,South America,Uruguay,858
5207,South America,Venezuela (Bolivarian Republic of),862
5304,South-Eastern Asia,Brunei Darussalam,96
5304,South-Eastern Asia,Cambodia,116
5304,South-Eastern Asia,Indonesia,360
5304,South-Eastern Asia,Lao People's Democratic Republic,418
5304,South-Eastern Asia,Malaysia,458
5304,South-Eastern Asia,Myanmar,104
5304,South-Eastern Asia,Philippines,608
5304,South-Eastern Asia,Singapore,702
5304,South-Eastern Asia,Thailand,764
